 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,
Time Period,All retailing including automotive fuel,Month as a % of Total,All Retailing excluding automotive fuel,Month as a % of Total excluding automotive fuel,Predominantly food stores,Total predominantly non-food stores,Non-specialised stores [Note 1],"Textile, clothing and footwear stores [Note 1]",Household goods stores [Note 1],Other stores [Note 1],Non-store retailing,Automotive fuel,Total Annual Sales for All Retailing including automotive fuel,Total Annual Sales for All Retailing excluding automotive fuel,
Agg/SIC,Agg 21,,Agg 21X,,Agg 1,AGG12,47.19,Agg 5,Agg 7,Agg 13,Agg 14,47.3,,,
Units,£thousands,,£thousands,,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,£thousands,,,
,,,,,,,,,,,,,,,
2023MAR,"46,474,145",9.12,"41,816,607",9.06,"18,814,641","16,959,549","3,154,372","4,741,320","3,502,108","5,561,749","6,042,417","4,657,538",,,
2023APR,"38,587,636",7.58,"34,833,301",7.55,"15,430,328","14,570,454","2,666,319","4,159,671","2,977,731","4,766,733","4,832,519","3,754,335",,,
2023MAY,"39,149,877",7.69,"35,483,104",7.69,"15,682,032","14,891,938","2,720,664","4,329,855","2,937,068","4,904,351","4,909,134","3,666,773",,,
2023JUN,"48,655,665",9.55,"44,153,076",9.57,"19,675,472","18,564,919","3,501,963","5,514,081","3,553,299","5,995,576","5,912,685","4,502,589",,,
2023JUL,"38,986,029",7.65,"35,359,943",7.66,"15,434,226","14,879,391","2,737,956","4,361,038","2,846,504","4,933,893","5,046,326","3,626,086",,,
2023AUG,"38,029,791",7.47,"34,317,196",7.44,"15,313,472","14,335,639","2,615,080","4,186,885","2,861,311","4,672,363","4,668,085","3,712,595",,,
2023SEP,"46,847,755",9.20,"42,089,394",9.12,"18,967,909","17,359,557","3,270,363","5,078,040","3,461,634","5,549,520","5,761,928","4,758,361",,,
2023OCT,"39,738,039",7.80,"35,898,180",7.78,"15,565,402","15,064,797","2,850,299","4,341,966","2,882,785","4,989,747","5,267,981","3,839,859",,,
2023NOV,"44,791,537",8.79,"40,995,941",8.88,"16,239,058","17,923,882","3,659,637","5,090,356","3,310,601","5,863,288","6,833,001","3,795,596",TOTAL SALES IN 2023 £000s,,
2023DEC,"57,274,595",11.24,"53,102,284",11.51,"21,818,214","23,792,659","5,152,114","7,334,030","3,455,939","7,850,576","7,491,411","4,172,311","509,390,662","461,437,178",
