"Daily usage of transport by mode: Great Britain, since 1 March 2020 [notes a,b]",,,,,,,,,,,,,
"This worksheet contains 1 table. Notes are used throughout this table, please see the notes tab to find the related notes text.",,,,,,,,,,,,,
All figures are given as a percentage of the baseline equivalent day or week.,,,,,,,,,,,,,
"Annotations in this table: [x] for data not available, [z] for not applicable, [r] for revised data, [p] for provisional data.",,,,,,,,,,,,,
"Date
[note 1]",Weekday,"Cars
[note 2]","Light Commercial Vehicles
[note 2]","Heavy Goods Vehicles
[note 2]","All motor vehicles
[note 2]","National Rail
[notes 3,13, 15, 16, 17, 21, 23]","National Rail excluding Elizabeth Line [note 13, 21]","Transport for London Tube
[note 4, 20]","Transport for London Bus
[notes 4,7, 20]","Bus (excluding London)
[notes 5,11]","Cycling
[notes 6,12,18]",Revised,Notes by day
22-Sep-2023,Fri,98%,115%,103%,102%,96%,86%,76%,88%,92%,[x],[z],[z]
23-Sep-2023,Sat,104%,128%,113%,109%,95%,85%,100%,93%,98%,[x],[z],[z]
24-Sep-2023,Sun,105%,136%,127%,111%,95%,85%,100%,99%,109%,[x],[z],[z]
25-Sep-2023,Mon,98%,118%,107%,102%,95%,85%,76%,86%,93%,[x],[z],[z]
26-Sep-2023,Tue,94%,117%,105%,100%,95%,85%,83%,90%,98%,[x],[z],[z]
27-Sep-2023,Wed,93%,115%,105%,98%,92%,83%,84%,87%,91%,[x],[z],[z]
28-Sep-2023,Thu,94%,113%,104%,99%,92%,83%,84%,88%,96%,[x],[z],[z]
29-Sep-2023,Fri,98%,114%,103%,102%,92%,82%,79%,89%,95%,[x],[z],[z]
30-Sep-2023,Sat,105%,129%,112%,109%,88%,78%,91%,99%,95%,[x],[z],[z]
01-Oct-2023,Sun,107%,136%,124%,112%,88%,78%,106%,102%,106%,[x],[z],[z]
02-Oct-2023,Mon,95%,117%,107%,100%,88%,78%,79%,85%,92%,[x],[z],[z]
03-Oct-2023,Tue,95%,116%,105%,100%,87%,77%,85%,89%,97%,[x],[z],[z]
04-Oct-2023,Wed,95%,117%,105%,100%,80%,70%,60%,86%,92%,[x],[z],[z]
05-Oct-2023,Thu,94%,113%,103%,98%,80%,70%,82%,88%,93%,[x],[z],[z]
06-Oct-2023,Fri,97%,114%,103%,101%,80%,70%,73%,87%,91%,[x],[z],[z]
07-Oct-2023,Sat,102%,123%,109%,106%,84%,75%,97%,94%,96%,[x],[z],[z]
08-Oct-2023,Sun,107%,137%,125%,113%,84%,75%,104%,100%,112%,[x],[z],[z]
09-Oct-2023,Mon,96%,117%,107%,101%,84%,75%,76%,87%,96%,[x],[z],[z]
10-Oct-2023,Tue,95%,117%,106%,100%,85%,76%,83%,89%,100%,[x],[z],[z]
11-Oct-2023,Wed,93%,114%,106%,98%,89%,81%,83%,88%,92%,[x],[z],[z]
12-Oct-2023,Thu,94%,114%,104%,99%,90%,81%,83%,88%,97%,[x],[z],[z]
13-Oct-2023,Fri,95%,112%,101%,98%,86%,78%,76%,88%,91%,[x],[z],[z]
14-Oct-2023,Sat,102%,123%,109%,106%,87%,79%,98%,98%,92%,[x],[z],[z]
15-Oct-2023,Sun,106%,134%,123%,111%,88%,79%,96%,102%,107%,[x],[z],[z]
16-Oct-2023,Mon,96%,119%,106%,101%,87%,79%,75%,87%,90%,[x],[z],[z]
17-Oct-2023,Tue,95%,118%,105%,100%,87%,78%,83%,86%,95%,[x],[z],[z]
18-Oct-2023,Wed,93%,116%,104%,98%,92%,83%,81%,85%,87%,[x],[z],[z]
19-Oct-2023,Thu,93%,113%,103%,97%,92%,82%,82%,87%,87%,[x],[z],[z]
20-Oct-2023,Fri,92%,112%,98%,96%,95%,85%,75%,85%,76%,[x],[z],[z]
21-Oct-2023,Sat,98%,122%,107%,102%,92%,83%,93%,90%,88%,[x],[z],[z]
22-Oct-2023,Sun,107%,134%,121%,112%,92%,82%,101%,102%,112%,[x],[z],[z]
23-Oct-2023,Mon,96%,115%,104%,100%,92%,82%,77%,89%,85%,[x],[z],[z]
24-Oct-2023,Tue,93%,112%,102%,97%,92%,82%,83%,88%,87%,[x],[z],[z]
25-Oct-2023,Wed,94%,111%,102%,98%,88%,79%,84%,89%,84%,[x],[z],[z]
26-Oct-2023,Thu,93%,108%,101%,96%,89%,80%,84%,94%,84%,[x],[z],[z]
27-Oct-2023,Fri,96%,110%,99%,99%,91%,81%,79%,89%,84%,[x],[z],[z]
28-Oct-2023,Sat,101%,121%,108%,104%,93%,84%,103%,98%,89%,[x],[z],[z]
29-Oct-2023,Sun,105%,132%,118%,109%,93%,84%,85%,89%,103%,[x],[z],[z]
30-Oct-2023,Mon,94%,113%,103%,98%,93%,84%,75%,87%,85%,[x],[z],[z]
31-Oct-2023,Tue,94%,113%,101%,98%,94%,85%,82%,90%,91%,[x],[z],[z]
01-Nov-2023,Wed,92%,112%,101%,97%,94%,85%,83%,87%,82%,[x],[z],[z]
02-Nov-2023,Thu,86%,104%,95%,90%,93%,84%,82%,83%,77%,[x],[z],[note 10]
03-Nov-2023,Fri,94%,110%,98%,97%,93%,83%,78%,89%,85%,[x],[z],[z]
04-Nov-2023,Sat,96%,117%,106%,100%,92%,82%,98%,96%,84%,[x],[z],[z]
05-Nov-2023,Sun,103%,129%,120%,108%,92%,83%,93%,97%,108%,[x],[z],[z]
06-Nov-2023,Mon,95%,116%,105%,99%,92%,82%,77%,87%,91%,[x],[z],[z]
07-Nov-2023,Tue,94%,116%,102%,99%,92%,82%,84%,89%,96%,[x],[z],[z]
08-Nov-2023,Wed,93%,115%,103%,97%,90%,81%,84%,86%,87%,[x],[z],[z]
09-Nov-2023,Thu,93%,113%,102%,98%,91%,82%,85%,89%,92%,[x],[z],[z]
10-Nov-2023,Fri,95%,113%,101%,98%,87%,78%,78%,87%,90%,[x],[z],[z]
11-Nov-2023,Sat,100%,121%,107%,104%,88%,79%,94%,101%,92%,[x],[z],[z]
12-Nov-2023,Sun,99%,127%,116%,104%,88%,79%,91%,93%,100%,[x],[z],[z]
13-Nov-2023,Mon,92%,115%,104%,97%,88%,78%,75%,86%,88%,[x],[z],[z]
14-Nov-2023,Tue,92%,116%,104%,98%,87%,78%,82%,86%,93%,[x],[z],[z]
15-Nov-2023,Wed,94%,115%,104%,98%,92%,83%,84%,87%,91%,[x],[z],[z]
16-Nov-2023,Thu,93%,113%,103%,97%,92%,83%,82%,85%,91%,[x],[z],[z]
17-Nov-2023,Fri,95%,113%,101%,98%,98%,88%,82%,89%,92%,[x],[z],[z]
18-Nov-2023,Sat,97%,119%,109%,101%,97%,87%,103%,91%,88%,[x],[z],[z]
19-Nov-2023,Sun,100%,128%,118%,105%,95%,86%,104%,97%,104%,[x],[z],[z]
20-Nov-2023,Mon,94%,117%,106%,99%,95%,86%,78%,86%,92%,[x],[z],[z]
21-Nov-2023,Tue,93%,116%,106%,99%,95%,86%,85%,88%,96%,[x],[z],[z]
22-Nov-2023,Wed,94%,116%,105%,99%,91%,82%,84%,87%,90%,[x],[z],[z]
23-Nov-2023,Thu,94%,113%,103%,98%,92%,83%,86%,89%,92%,[x],[z],[z]
24-Nov-2023,Fri,96%,113%,102%,100%,92%,83%,83%,88%,91%,[x],[z],[z]
25-Nov-2023,Sat,100%,121%,114%,103%,92%,83%,103%,97%,93%,[x],[z],[z]
26-Nov-2023,Sun,102%,130%,123%,107%,93%,84%,101%,96%,103%,[x],[z],[z]
27-Nov-2023,Mon,93%,117%,106%,98%,93%,84%,78%,85%,88%,[x],[z],[z]
28-Nov-2023,Tue,94%,117%,105%,99%,93%,84%,84%,88%,97%,[x],[z],[z]
29-Nov-2023,Wed,93%,117%,106%,98%,94%,85%,84%,87%,89%,[x],[z],[z]
30-Nov-2023,Thu,93%,115%,103%,98%,93%,84%,85%,87%,90%,[x],[z],[z]
01-Dec-2023,Fri,94%,112%,100%,98%,92%,83%,80%,84%,88%,[x],[z],[z]
02-Dec-2023,Sat,94%,119%,111%,99%,90%,81%,98%,92%,91%,[x],[z],[note 10]
03-Dec-2023,Sun,94%,124%,119%,99%,89%,80%,98%,93%,102%,[x],[z],[note 10]
04-Dec-2023,Mon,92%,117%,105%,98%,89%,79%,80%,84%,88%,[x],[z],[z]
05-Dec-2023,Tue,94%,118%,105%,99%,88%,78%,85%,88%,97%,[x],[z],[z]
06-Dec-2023,Wed,94%,117%,104%,99%,84%,75%,82%,90%,93%,[x],[z],[z]
07-Dec-2023,Thu,93%,113%,102%,97%,84%,75%,87%,87%,89%,[x],[z],[z]
08-Dec-2023,Fri,96%,113%,102%,99%,80%,71%,84%,90%,94%,[x],[z],[z]
09-Dec-2023,Sat,97%,118%,108%,101%,81%,72%,99%,91%,89%,[x],[z],[z]
10-Dec-2023,Sun,100%,128%,116%,105%,84%,75%,103%,96%,108%,[x],[z],[z]
11-Dec-2023,Mon,96%,119%,105%,101%,85%,75%,79%,86%,94%,[x],[z],[z]
12-Dec-2023,Tue,95%,118%,104%,100%,86%,76%,84%,87%,94%,[x],[z],[z]
13-Dec-2023,Wed,96%,118%,104%,100%,93%,83%,84%,86%,91%,[x],[z],[z]
14-Dec-2023,Thu,95%,116%,102%,100%,94%,84%,87%,89%,93%,[x],[z],[z]
15-Dec-2023,Fri,97%,115%,100%,101%,101%,90%,80%,87%,91%,[x],[z],[z]
16-Dec-2023,Sat,102%,123%,108%,105%,102%,92%,98%,94%,95%,[x],[z],[z]
17-Dec-2023,Sun,103%,129%,118%,107%,100%,90%,102%,98%,108%,[x],[z],[z]
18-Dec-2023,Mon,97%,118%,103%,101%,99%,89%,76%,85%,85%,[x],[z],[z]
19-Dec-2023,Tue,95%,116%,102%,99%,98%,88%,78%,83%,85%,[x],[z],[z]
20-Dec-2023,Wed,97%,116%,101%,101%,93%,83%,76%,84%,81%,[x],[z],[z]
21-Dec-2023,Thu,94%,107%,89%,96%,91%,82%,75%,84%,77%,[x],[z],[z]
22-Dec-2023,Fri,95%,99%,73%,94%,89%,80%,71%,83%,77%,[x],[z],[z]
23-Dec-2023,Sat,101%,115%,86%,103%,87%,78%,87%,93%,85%,[x],[z],[z]
24-Dec-2023,Sun,94%,110%,59%,96%,83%,74%,69%,71%,83%,[x],[z],[z]
25-Dec-2023,Mon (BH),49%,35%,3%,43%,[x],[x],[x],[x],[x],[x],[z],[note 8]
26-Dec-2023,Tue (BH),68%,53%,13%,61%,[x],[x],109%,107%,[x],[x],[z],[note 8]
27-Dec-2023,Wed,76%,71%,43%,73%,[x],[x],91%,91%,44%,[x],[z],[z]
28-Dec-2023,Thu,77%,74%,48%,75%,[x],[x],102%,99%,54%,[x],[z],[z]
29-Dec-2023,Fri,79%,75%,49%,76%,[x],[x],107%,106%,60%,[x],[z],[z]
30-Dec-2023,Sat,85%,98%,79%,87%,[x],[x],100%,101%,70%,[x],[z],[z]
31-Dec-2023,Sun,83%,97%,64%,85%,[x],[x],91%,78%,87%,[x],[z],[z]
